Date,Question,Answer,Specialty,Diagnosis,Emergency,Pharmacology
"March 6, 2018",What is third-degree AV block? ,"Complete, persistent loss of conduction from the atria to the ventricles.",Cardiology,,,
"March 6, 2018",What is the classical presentation of Meniere's disease?,"The disease is characterised by sudden onset of vertigo, hearing loss, tinnitus, and sensation of fullness in the affected ear.",Otorhinolaryngology,,,
"March 6, 2018",What is the typical pure-tone audiometry of Meniere's disease?,Unilateral low-frequency sensorineural hearing loss.,Otorhinolaryngology,,,
"March 6, 2018",What is the typical pure-tone audiometry of age-related hearing impairment (presbycusis)? ,"Bilateral sensorineural hearing loss, usually high frequency.",Otorhinolaryngology,,,
"March 6, 2018",What is the typical pure-tone audiometry of noise-related hearing loss?,"Bilateral sensorineural hearing loss in the high frequencies, especially approximately 4000 Hz.",Otorhinolaryngology,,,
"March 7, 2018",What is  the most common heart block?,First Degree Heart Block,Cardiology,,,
"March 8, 2018",What is the target of HbA1c in diabetic patients? ,<7.0%,Endocrinology,,,
"March 8, 2018",What is the target of fasting blood glucose in diabetic patients? ,72-126 mg/dL,Endocrinology,,,
"March 8, 2018",What is the target of 2h post prandial glucose in diabetic patients? ,90-180 mg/dL,Endocrinology,,,
"March 8, 2018",What is the target of blood pressure control in diabetic patients? ,<130/80 mmHg ,Endocrinology,,,
"March 8, 2018",What are the antibodies that are seen in T1DM? ,Anti-GAD and anti-insulin antibodies ,Endocrinology,,,
"March 8, 2018",What is the estimated total insulin requirement?,"Type 1 DM: 0.5-0.7 units/kg/d
Type 2 DM: 0.3 units/kg/d",Endocrinology,,,
"March 8, 2018",What are the insulin regimens for T2DM? ,"Bedtime basal insulin + non-insulin antihyperglycemic agent
Multiple daily injections of basal and bolus insulin + Mefromin 
Premixed insulin + Metfomin ",Endocrinology,,,
"March 8, 2018",What is the recommended insulin regimen for T1DM?,"Multiple daily injections of basal and bolus insulin
40% is given as basal insulin at bedtime
20% is given as bolus insulin before breakfast, lunch, and dinner",Endocrinology,,,
"March 8, 2018",How should you start giving basal insulin?,"Start with 10 units of long-acting insulin at bedtime. 
Titrate up by 2 units every 3 days until fasting blood sugar levels are within target range. 
",Endocrinology,,,
"March 8, 2018",How should you start giving bolus insulin?,"Start with 4 units of  rapid-acting insulin with the meal with the largest blood sugar excursion.
Titrate up by 2 units every 3 days until fasting blood sugar levels are within target range. ",Endocrinology,,,
"March 8, 2018",How are the doses divided in the premixed insulin regimen?,"2/3 dose is given as pre-mixed insulin before breakfast.
1/3 dose is given as pre-mixed insulin before dinner.",Endocrinology,,,
"March 8, 2018",What are the two types of insulin in the premixed regimen?,The short-acting regular insulin and the Intermediate-acting NPH (30:70),Endocrinology,,,
"March 8, 2018",List two rapid-acting prandial insulins. ,"Insulin aspart (NovoRapid)
Insulin lispro (Humalog)",Endocrinology,,,
"March 8, 2018",List three long-acting basal insulins. ,"Insulin detemir (Levemir®)
Insulin glargine (Lantus®)
Insulin degludec ",Endocrinology,,,
"March 9, 2018",What is Rotterdam criteria?,"Two of the following 3 must be present to diagnose polycystic ovarian syndrome, and other disorders must be excluded:
 Hyper-androgenism and/or hyper-androgenaemia
 Oligo- or anovulation
 Polycystic ovaries on ultrasound.",Gynecology,,,
"March 9, 2018",What is the presentation of polycystic ovarian syndrome?,"HAIR: Hirsutism, Acanthosis Nigricans, Infertility, and Resistance of Insulin. ",Gynecology,,,
"March 9, 2018",What are the antibodies that are positive in rheumatoid arthritis? ,Rheumatoid factor and anti-CCP antibodies. ,Rheumatology,,,
"March 9, 2018",What is the differential diagnosis of rheumatoid factor of more than 1000 international units?,Hepatitis C and cryoglobulinaemia.,Rheumatology,,,
"March 9, 2018",What is the percentage of RA patients with negative RF?,Approximately 30%,Rheumatology,,,
"March 9, 2018",What are the antibodies that are positive in Sjogren's syndrome?,Anti-Ro (SS-A) and anti-La (SS-B) antibodies,Rheumatology,,,
"March 9, 2018",Define  Sjogren's syndrome.,Sjogren syndrome is a systemic auto-immune disorder characterised by the presence of dry eyes and dry mouth as a consequence of lymphocytic infiltration into the lacrimal and salivary glands. ,Rheumatology,,,
"March 9, 2018",What is the therapeutic course for vitamin D deficiency?,"50,000 IU of Vitamin D3 (colecalciferol) orally once weekly for 8 weeks",Endocrinology,,,
"March 9, 2018",What is vitamin D deficiency? ,Serum 25-hydroxyvitamin D level of <20 nanograms/mL,Endocrinology,,,
"March 9, 2018",What is vitamin D insufficiency? ,Serum 25-hydroxyvitamin D level between 21 and 29 nanograms/mL,Endocrinology,,,
"March 9, 2018",What is the favorable serum 25(OH)D concentration?,Between 30 and 50 ng/mL,Endocrinology,,,
"March 9, 2018",What is the maintenance dose of vitamin D? ,400-1000 IU/day,Endocrinology,,,
"March 10, 2018",What is PAC? ,Premature atrial complexes frequently occur in bradycardic rhythms. PAC's occur when an early electrical impulse occurs from a location in the atria other than the SA node.,Cardiology,,,
"March 10, 2018",What is the core change in ECG to diagnose Wandering Atrial Pacemaker?,You must observe at least three different shaped P waves. No other changes in the tracing may be observed. The rhythm may or may not be regular.,Cardiology,,,
"March 10, 2018",What is the criteria for Multifocal Atrial Tachycardia? ,Multifocal Atrial Tachycardia is just a faster version of Wandering Atrial Pacemaker. The criteria is the same as Wandering Atrial Pacemaker with the only difference being the heart rate exceeds 100 bpm. It might be confused with Atrial Fibrillation. ,Cardiology,,,
"March 10, 2018",What are the ECG changes of atrial fibrillation?,"ECG shows absent P waves, presence of fibrillatory waves, and irregularly irregular QRS complexes.",Cardiology,,,
"March 10, 2018",What are the ECG changes of atrial flutter? ,Saw-tooth atrial deflections,Cardiology,,,
"March 10, 2018",What is the unique feature of junctional rhythms?,"With junctional rhythms, the impulse is initiated in the AV junction. This impulse point results in a backward or retrograde flow of electricity during atrial depolarization. This change in the flow of electricity results in an inverted P wave.",Cardiology,,,
"March 10, 2018",What is the AV junctional rate? ,"40 – 60 bpm
It is accerlerated if the rate is 60 – 100 bpm.",Cardiology,,,
"March 10, 2018",Which heart rate range is most closely associated with supraventricular tachycardia?,150-250 bpm,Cardiology,,,
"March 10, 2018",What are the features of Ventricular Rhythms?,"No P wave, and wide - bizarre QRS.",Cardiology,,,
"March 10, 2018",What are the only two rhythms that are treated with defibrillation?,Ventricular Tachycardia and Ventricular Fibrillation,Cardiology,,,
"March 10, 2018",What is the idioventricular rate? ,"20 – 40 bpm
It is accerlerated if the rate is 40 – 100 bpm.",Cardiology,,,
"March 10, 2018","What are bigeminy, trigeminy and quadgeminy?","Abnormal complexes occur every second, third, and fourth complex, respectively.",Cardiology,,,
2018-03-13 00:00:00,What are the symptoms of acute conjunctivitis? ,"Eye discharge (watery: viral cause, mucoid: allergic cause, and purulent: bacterial cause)
Eyelids stucking together in morning
Pre-auricular Lymphadenopathy ",Ophthalmology,,,
2018-03-14 00:00:00,What are the radiological signs of child abuse? ,"Metaphyseal corner fracture
Posterior rib fractures 
Lower extremity fracture in infant prior to walking age
Multiple fractures of different ages 
Dense periosteal reaction
Scapular fractures ",Radiology,,,
2018-03-16 00:00:00,What is the management for carpal tunnel syndrome?,"Wrist splints (neutral or 20° extension) worn every night for a trial of 1 to 2 months.
If response to splinting is unsatisfactory, intracarpal injection of corticosteroid may be tried, in addition to splinting.
If patient requires more than 2 injections in 12 months, they should be considered for referral for surgical release.",Neurology,,,
2018-03-16 00:00:00,What are the tests for carpal tunnel syndrome?,Tinel’s Sign and Phalen’s Test (Tap lightly over the median nerve at the wrist and hold both wrists in forced flexion for 30-60 s; the patient’s symptoms of carpal tunnel will be elicited in positive tests).,Neurology,,,
2018-03-16 00:00:00,What are the diagnostic investigations of carpal tunnel syndrome?,"EMG and NCS (patients with any evidence of axonal loss in sensory or motor nerves should be referred for surgical release as soon as possible, as the risk of permanent nerve damage is a real possibility).",Neurology,,,
2018-03-16 00:00:00,What are the key diagnostic factors of carpal tunnel syndrome?,Paresthesia of first 3 and ½ digits worsing at night ,Neurology,,,
2018-03-16 00:00:00,List 10 NSAIDs. ,"Aspirin, Ibuprofen, Ketoprofen, Naproxen, Indomethacin, Diclofenac, Lornoxicam,  Ketorolac,  Mefenamic acid and the selective COX II inhbitor Celecoxib. ",Rheumatology,,,Yes
2018-03-16 00:00:00,What are the adverse effects of NSAIDs? ,"The commonest adverse effects of NSAIDs are generally gastrointestinal disturbances, such as gastrointestinal discomfort, nausea, and diarrhoea. Some NSAIDs have been associated with nephrotoxicity such as interstitial nephritis and nephrotic syndrome.
In hypersensitive patients, fever, angioedema, bronchospasm, rashes, hepatotoxicity and aseptic meningitis may occur. 
In patients with a history of peptic ulcer, peptic ulceration and severe gastrointestinal bleeding may occur.
In patients with a pre-existing renal impairment, renal failure may be provoked by NSAIDs. 
In patients with heart failure, precipitating heart failure might occur. ",Rheumatology,,,Yes
2018-03-16 00:00:00,What is the main concern about the use of selective cyclo-oxygenase-2 (COX-2) inhibitors?,It is that the risk of thrombotic events such as myocardial infarction and stroke might increase. ,Cardiology,,,Yes
2018-03-16 00:00:00,What is the NSAID with the best risk/benefit ratio for dysmenorrhea?,Ibuprofen,Gynecology,,,Yes
2018-03-16 00:00:00,What is Liraglutide? ,"Liraglutide (Saxenda) is an analogue of the incretin hormone, glucagon-like peptide 1 (GLP-1). It  is used as adjunctive therapy in type 2 diabetes mellitus and in obesity and given once daily by subcutaneous injection independently of meal times. It has been reported to reduce appetite and food intake, delay gastric emptying, and improve glycaemic control.",Endocrinology,,,Yes
2018-03-16 00:00:00,What are the indications for the adjunctive pharmacotherapies of obesity?,"A BMI of 30 kg/m2 or above, or who have a BMI of 27 kg/m2 or more with at least one weight-related condition such as hypertension, type 2 diabetes mellitus, or dyslipidaemia. ",Endocrinology,,,Yes
2018-03-16 00:00:00,What are the adverse effects of Liraglutide? ,"Gastrointestinal adverse effects 
An increased risk of hypoglycaemia with sulfonylurea
Increased blood calcitonin, goitre, and thyroid neoplasms in patients with pre-existing thyroid disease",Endocrinology,,,Yes
2018-03-16 00:00:00,What are the contraindications of Liraglutide? ,"Liraglutide is contra-indicated in patients with a history, or family history, of medullary thyroid cancer, and in patients with multiple endocrine neoplasia syndrome type 2.",Endocrinology,,,Yes
